Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.72008e-44,6.63968e-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.72008e-44,3.72008e-44,-3.30181e-44,0,0,0,0,0,0,0,0,0.367879,1,0.367879,0.0183156,0.00012341,1.12535e-07,1.38879e-11,2.31952e-16,5.24289e-22,1.60381e-28,6.63968e-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.72008e-44,3.72008e-44,-3.30181e-44,0,0,0,0,0,0,0,0,0,-1.27733e-17,1.49088e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49041e-17,2.17188e-16,1.3888e-11,1.12535e-07,0.00012341,0.0183156,0.367879,1,0.367879,0.0183156,0.00012341,1.12535e-07,1.38879e-11,2.31952e-16,5.24289e-22,1.60381e-28,6.63968e-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.72008e-44,3.72008e-44,-3.30181e-44,0,0,0,0,0,0,0,0,0,-1.27733e-17,1.49088e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49041e-17,2.17188e-16,1.3888e-11,1.12535e-07,0.00012341,0.0183156,0.367879,1,0.367879,0.0183156,0.00012341,1.12535e-07,1.38879e-11,2.31952e-16,5.24289e-22,1.60381e-28,6.63968e-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,-3.72008e-44,3.72008e-44,-3.30181e-44,0,0,0,0,0,0,0,0,0,-1.27733e-17,1.49088e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49041e-17,2.17188e-16,1.3888e-11,1.12535e-07,0.00012341,0.0183156,0.367879,1,0.367879,0.0183156,0.00012341,1.12535e-07,1.38879e-11,2.31952e-16,5.24289e-22,1.60381e-28,6.63968e-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,-3.72008e-44,3.72008e-44,-3.30181e-44,0,0,0,0,0,0,0,0,0,-1.27733e-17,1.49088e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49041e-17,2.17188e-16,1.3888e-11,1.12535e-07,0.00012341,0.0183156,0.367879,1,0.367879,0.0183156,0.00012341,1.12535e-07,1.38879e-11,2.31952e-16,5.24289e-22,1.78201e-29,8.19713e-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,-1.27733e-17,1.49088e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-2.36999e-16,-1.23448e-11,-1.00029e-07,-0.000109675,-0.0162562,-0.323368,-0.813598,-0.0753453,0.248409,0.0805461,0.00444798,7.64266e-05,3.28834e-07,2.34478e-10,2.35644e-14,3.22702e-19,5.98731e-25,1.50365e-31,5.11076e-39,2.35091e-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-2.36999e-16,-1.23448e-11,-1.00029e-07,-0.000109675,-0.0162562,-0.323368,-0.813598,-0.0754687,0.230093,0.149659,0.0591352,-0.00701623,-0.042163,-0.0482032,-0.0336601,-0.0102611,0.0109286,0.0225856,0.0225621,-0.0592849,0.0300258,0.171764,0.100949,0.0263821,0.00391613,0.000365922,2.26333e-05,9.46698e-07,2.67621e-08,4.99448e-10,5.81992e-12,3.77318e-14,1.05141e-16,6.83298e-20,6.77303e-24,9.25774e-29,1.71721e-34,4.31246e-41,1.46575e-48,6.74236e-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-2.36999e-16,-1.23448e-11,-1.00029e-07,-0.000109675,-0.0162562,-0.323368,-0.813598,-0.0754687,0.230093,0.149659,0.0591352,-0.00701623,-0.042163,-0.0482032,-0.0336601,-0.0102611,0.0109286,0.0225856,0.0225621,0.0134471,0.000665143,-0.0100385,-0.0147783,-0.0126651,-0.00565106,0.00267039,0.00871383,0.0103155,0.00740153,-0.0201872,0.0166512,0.0228359,-0.0825068,0.0347769,0.146689,0.111008,0.0444601,0.0114843,0.00208704,0.000280167,2.86352e-05,2.27202e-06,1.41642e-07,6.98303e-09,2.72679e-10,8.40688e-12,2.02918e-13,3.7775e-15,5.29509e-17,5.38208e-19,3.73146e-21,1.58569e-23,3.33104e-26,1.99079e-29,1.94673e-33,2.65588e-38,4.92512e-44,1.23681e-50,4.20374e-58,1.93369e-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-1.47648e-17,1.49035e-17,-2.36999e-16,-1.23448e-11,-1.00029e-07,-0.000109675,-0.0162562,-0.323368,-0.813598,-0.0754687,0.230093,0.149659,0.0591352,-0.00701623,-0.042163,-0.0482032,-0.0336601,-0.0102611,0.0109286,0.0225856,0.0225621,0.0134471,0.000665143,-0.0100385,-0.0147783,-0.0126651,-0.00565106,0.00267039,0.00871383,0.0103155,0.00740153,0.00174588,-0.00397442,-0.00737262,-0.00729128,-0.00413982,0.000441106,0.00438323,0.00608924,0.00505035,0.00195627,-0.00620992,0.00266306,0.0140929,-0.0412389,0.0515045,-0.000866294,-0.08127,0.022457,0.127358,0.116694,0.0599698,0.0209596,0.00540738,0.0010782,0.00017111,2.20534e-05,2.34175e-06,2.07006e-07,1.53472e-08,9.59119e-10,5.06812e-11,2.26722e-12,8.582e-14,2.74235e-15,7.36578e-17,1.6519e-18,3.06385e-20,4.63748e-22,5.62307e-24,5.32054e-26,3.78102e-28,1.90244e-30,6.13766e-33,1.04728e-35,5.79894e-39,5.59537e-43,7.61925e-48,1.41257e-53,3.54715e-60,1.20562e-67,5.54577e-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
