Frequency (Hz),S11 (dB)
666205,0.234327
1.33241e+06,-0.208868
1.99862e+06,-0.523606
2.66482e+06,-0.456672
3.33103e+06,0.0930968
3.99723e+06,1.047
4.66344e+06,1.81871
5.32964e+06,0.551117
5.99585e+06,-3.53959
6.66205e+06,-5.71163
7.32826e+06,-5.08979
7.99447e+06,-4.69105
8.66067e+06,-4.80088
9.32688e+06,-4.77643
9.99308e+06,-4.42813
1.06593e+07,-3.98813
1.13255e+07,-3.66311
1.19917e+07,-3.51836
1.26579e+07,-3.49509
1.33241e+07,-3.4816
1.39903e+07,-3.3837
1.46565e+07,-3.15423
1.53227e+07,-2.79235
1.59889e+07,-2.33357
1.66551e+07,-1.83739
1.73213e+07,-1.37026
1.79875e+07,-0.983347
1.86538e+07,-0.694115
1.932e+07,-0.484235
1.99862e+07,-0.314447
2.06524e+07,-0.143707
2.13186e+07,0.0586963
2.19848e+07,0.309875
2.2651e+07,0.615356
2.33172e+07,0.97278
2.39834e+07,1.37535
2.46496e+07,1.81434
2.53158e+07,2.28071
2.5982e+07,2.76604
2.66482e+07,3.26309
2.73144e+07,3.76578
2.79806e+07,4.26873
2.86468e+07,4.7666
2.9313e+07,5.25333
2.99792e+07,5.72162
3.06455e+07,6.16265
3.13117e+07,6.56601
3.19779e+07,6.91989
3.26441e+07,7.2117
3.33103e+07,7.42929
3.39765e+07,7.56265
3.46427e+07,7.60573
3.53089e+07,7.55768
3.59751e+07,7.42308
3.66413e+07,7.21097
3.73075e+07,6.93327
3.79737e+07,6.60311
3.86399e+07,6.23333
3.93061e+07,5.83554
3.99723e+07,5.41958
4.06385e+07,4.99328
4.13047e+07,4.5626
4.19709e+07,4.13192
4.26371e+07,3.70429
4.33034e+07,3.2817
4.39696e+07,2.86523
4.46358e+07,2.45522
4.5302e+07,2.05135
4.59682e+07,1.65266
4.66344e+07,1.25735
4.73006e+07,0.862373
4.79668e+07,0.462372
4.8633e+07,0.0466351
4.92992e+07,-0.413937
4.99654e+07,-1.19279
5.06316e+07,-2.09492
5.12978e+07,-2.60969
5.1964e+07,-3.04478
5.26302e+07,-3.43803
5.32964e+07,-3.80353
5.39626e+07,-4.14829
5.46288e+07,-4.47634
5.52951e+07,-4.79037
5.59613e+07,-5.09234
5.66275e+07,-5.38373
5.72937e+07,-5.66556
5.79599e+07,-5.93852
5.86261e+07,-6.20328
5.92923e+07,-6.46059
5.99585e+07,-6.71108
6.06247e+07,-6.955
6.12909e+07,-7.19251
6.19571e+07,-7.42401
6.26233e+07,-7.65022
6.32895e+07,-7.87166
6.39557e+07,-8.08824
6.46219e+07,-8.29954
6.52881e+07,-8.50547
6.59543e+07,-8.70672
6.66205e+07,-8.90423
6.72868e+07,-9.09836
6.7953e+07,-9.28859
6.86192e+07,-9.4743
6.92854e+07,-9.65565
6.99516e+07,-9.83363
7.06178e+07,-10.0091
7.1284e+07,-10.182
7.19502e+07,-10.3515
7.26164e+07,-10.5172
7.32826e+07,-10.6791
7.39488e+07,-10.8378
7.4615e+07,-10.9936
7.52812e+07,-11.1472
7.59474e+07,-11.2989
7.66136e+07,-11.4485
7.72798e+07,-11.5952
7.7946e+07,-11.7383
7.86122e+07,-11.8778
7.92785e+07,-12.0148
7.99447e+07,-12.1502
8.06109e+07,-12.2838
8.12771e+07,-12.4151
8.19433e+07,-12.544
8.26095e+07,-12.6709
8.32757e+07,-12.796
8.39419e+07,-12.9188
8.46081e+07,-13.0389
8.52743e+07,-13.1568
8.59405e+07,-13.2736
8.66067e+07,-13.3897
8.72729e+07,-13.5039
8.79391e+07,-13.6148
8.86053e+07,-13.7222
8.92715e+07,-13.8274
8.99377e+07,-13.9319
9.06039e+07,-14.0361
9.12701e+07,-14.1392
9.19364e+07,-14.2404
9.26026e+07,-14.3394
9.32688e+07,-14.4364
9.3935e+07,-14.5316
9.46012e+07,-14.6257
9.52674e+07,-14.7186
9.59336e+07,-14.8093
9.65998e+07,-14.8976
9.7266e+07,-14.9842
9.79322e+07,-15.0705
9.85984e+07,-15.1568
9.92646e+07,-15.2417
9.99308e+07,-15.324
1.00597e+08,-15.4033
1.01263e+08,-15.481
