"Freq [GHz]","dB(S(wp1,wp1)) []"
1,-13.256744508775
1.1,-13.067602658485
1.2,-12.8718853909037
1.3,-12.6713721891707
1.4,-12.4676618255132
1.5,-12.2621689296572
1.6,-12.0561281319757
1.7,-11.8506031354677
1.8,-11.646499277661
1.9,-11.4445776975822
2,-11.2454703473234
2.1,-11.0496947671813
2.2,-10.8576682272252
2.3,-10.6697209329651
2.4,-10.4861079861021
2.5,-10.3070202521574
2.6,-10.1325938797788
2.7,-9.96291877078163
2.8,-9.79804591604941
2.9,-9.63799378056723
3,-9.48275380324668
3.1,-9.33229512525676
3.2,-9.18656863724585
3.3,-9.04551043028463
3.4,-8.90904472733507
3.5,-8.7770863935181
3.6,-8.64954302941665
3.7,-8.52631675961136
3.8,-8.40730573778243
3.9,-8.2924054005741
4,-8.18150952864728
4.1,-8.07451112616783
4.2,-7.97130315137396
4.3,-7.87177912462393
4.4,-7.7758336240509
4.5,-7.6833626916649
4.6,-7.59426416136575
4.7,-7.50843792191919
4.8,-7.42578612123469
4.9,-7.34621332766503
5,-7.2696266461254
5.1,-7.19593580436146
5.2,-7.12505320985616
5.3,-7.05689398130606
5.4,-6.99137596211792
5.5,-6.92841971614912
5.6,-6.86794850998592
5.7,-6.80988828327306
5.8,-6.7541676109424
5.9,-6.70071765603638
6,-6.64947211886655
6.1,-6.60036717877481
6.2,-6.55334143379726
6.3,-6.50833583780882
6.4,-6.4652936345207
6.5,-6.42416029093333
6.6,-6.38488342961393
6.7,-6.34741276156496
6.8,-6.31170001769476
6.9,-6.27769888265043
7,-6.24536492753287
7.1,-6.21465554444065
7.2,-6.18552988330788
7.3,-6.15794878683971
7.4,-6.13187473040241
7.5,-6.10727176139447
7.6,-6.08410544028751
7.7,-6.06234278426062
7.8,-6.04195221160872
7.9,-6.0229034878439
8,-6.0051676742397
8.1,-5.98871707733072
8.2,-5.97352519988094
8.3,-5.95956669484012
8.4,-5.94681731922564
8.5,-5.93525389114749
8.6,-5.92485424684582
8.7,-5.91559720059234
8.8,-5.90746250580645
8.9,-5.90043081732347
9,-5.89448365422862
9.1,-5.88960336665547
9.2,-5.88577310038
9.3,-5.88297676618332
9.4,-5.88119900774155
9.5,-5.88042517204476
9.6,-5.88064128042241
9.7,-5.88183400113114
9.8,-5.88399062220154
9.9,-5.88709902592724
10,-5.89114766405145
10.1,-5.89612553359202
10.2,-5.9020221537652
10.3,-5.90882754347068
10.4,-5.91653219939418
10.5,-5.92512707588449
10.6,-5.93460356331642
10.7,-5.94495346888766
10.8,-5.95616899774604
10.9,-5.9682427333708
11,-5.98116762017798
11.1,-5.99493694488299
11.2,-6.00954431968231
11.3,-6.02498366523068
11.4,-6.0412491932579
11.5,-6.05833539134941
11.6,-6.07623700583145
11.7,-6.09494902685615
11.8,-6.11446667238167
11.9,-6.13478537341329
12,-6.15590075876536
12.1,-6.1778086405782
12.2,-6.20050499961217
12.3,-6.22398597123614
12.4,-6.24824783112422
12.5,-6.27328698179251
12.6,-6.29909993844603
12.7,-6.32568331608652
12.8,-6.35303381585298
12.9,-6.38114821209105
13,-6.41002333932126
13.1,-6.43965607972264
13.2,-6.47004335023894
13.3,-6.50118209019044
13.4,-6.53306924892363
13.5,-6.56570177344106
13.6,-6.59907659627045
13.7,-6.63319062317312
13.8,-6.66804072106581
13.9,-6.70362370573862
14,-6.73993632974788
14.1,-6.77697526988222
14.2,-6.81473711488666
14.3,-6.85321835268935
14.4,-6.89241535760084
14.5,-6.93232437719616
14.6,-6.9729415187699
14.7,-7.01426273565438
14.8,-7.05628381293006
14.9,-7.09900035268188
15,-7.1424077589325
15.1,-7.18650122193957
15.2,-7.23127570159567
15.3,-7.27672591076496
15.4,-7.32284629752512
15.5,-7.36963102676331
15.6,-7.41707396137372
15.7,-7.4651686422489
15.8,-7.51390826790656
15.9,-7.5632856731468
16,-7.6132933070991
16.1,-7.66392321047535
16.2,-7.71516699228879
16.3,-7.76701580551839
16.4,-7.81946032242956
16.5,-7.8724907095033
16.6,-7.92609660134164
16.7,-7.9802670743978
16.8,-8.03499062044131
16.9,-8.09025511943839
17,-8.14604781236694
17.1,-8.20235527380214
17.2,-8.25916338476764
17.3,-8.31645730503666
17.4,-8.37422144634094
17.5,-8.43243944543115
17.6,-8.49109413734802
17.7,-8.55016752974152
17.8,-8.60964077730055
17.9,-8.66949415715678
18,-8.72970704511318
