f,s11
10000000000.0,(1.4253167051608795+0.6385981749729095j)
10020000000.0,(1.3803216037108696+0.6027597939216252j)
10040000000.0,(1.3398598972037892+0.5657390170323838j)
10060000000.0,(1.3035637561690954+0.5278873934129804j)
10080000000.0,(1.2710910514095308+0.489475372711394j)
10100000000.0,(1.2421289533375628+0.45070794118872903j)
10120000000.0,(1.2163952742685784+0.4117375484096097j)
10140000000.0,(1.1936383725757178+0.3726746748960182j)
10160000000.0,(1.173636192776549+0.33359640346813685j)
10180000000.0,(1.156194836466978+0.29455333483407076j)
10200000000.0,(1.1411469307076532+0.2555751504014373j)
10220000000.0,(1.1283499702517146+0.2166750832426609j)
10240000000.0,(1.1176847476735379+0.17785351755907972j)
10260000000.0,(1.109053943178343+0.13910090072370387j)
10280000000.0,(1.102380917814169+0.10040012117006257j)
10300000000.0,(1.0976087356972413+0.061728480244570276j)
10320000000.0,(1.094699429618277+0.023059366385134634j)
10340000000.0,(1.0936335178067627-0.01563627475089286j)
10360000000.0,(1.0944097760749116-0.05438859076892587j)
10380000000.0,(1.0970452678544407-0.09322751611251327j)
10400000000.0,(1.1015756338242224-0.13218143311384153j)
10420000000.0,(1.108055642081556-0.17127572281578682j)
10440000000.0,(1.116559998309118-0.21053112170152194j)
10460000000.0,(1.1271844121809795-0.24996178996703228j)
10480000000.0,(1.1400469101411324-0.28957298174599466j)
10500000000.0,(1.15528937405-0.32935818725167876j)
10520000000.0,(1.173079267790648-0.36929559063262j)
10540000000.0,(1.1936114866231735-0.40934365509289117j)
10560000000.0,(1.2171102225166208-0.449435608561059j)
10580000000.0,(1.243830676885186-0.48947255987709004j)
10600000000.0,(1.2740603620219866-0.529314929798975j)
10620000000.0,(1.3081196034625429-0.5687718388478211j)
10640000000.0,(1.346360674179316-0.6075880660029813j)
10660000000.0,(1.3891647422569566-0.6454281977128871j)
10680000000.0,(1.4369354803260568-0.6818576577172238j)
10700000000.0,(1.4900877553022485-0.7163204959267774j)
10720000000.0,(1.5490292921102058-0.7481141967296522j)
10740000000.0,(1.6141326174210762-0.776362454282664j)
10760000000.0,(1.6856940328246983-0.799987999732418j)
10780000000.0,(1.7638760429685323-0.8176893175174563j)
