f,s11,s21,ZL,ZL_a
1000000000.0,(-0.8635596394053168+0.045523335617482535j),(-0+0j),(27.341922201403584+9.87100026546195j),376.7408947925618
1085000000.0,(-0.8603753251777294+0.048438412867350025j),(-0+0j),(28.00061330028014+10.538174122633707j),376.73930177214294
1170000000.0,(-0.8570356570445351+0.05114483467514317j),(-0+0j),(28.695743304842463+11.166098993738245j),376.73804317953983
1255000000.0,(-0.8535608366290773+0.05363523454870578j),(-0-0j),(29.423739698811488+11.752799153012827j),376.73703155706124
1340000000.0,(-0.8499712369733894+0.0559038898671987j),(-0-0j),(30.180924613848358+12.296542787030567j),376.73620627379245
1425000000.0,(-0.846287205338578+0.057946714849141746j),(-0-0j),(30.96354262051463+12.795854026612052j),376.7355242242365
1510000000.0,(-0.8425288791417314+0.059761234148448306j),(-0-0j),(31.767788459326145+13.249522611948489j),376.7349540830208
1595000000.0,(-0.8387160164658831+0.06134653833871144j),(-0-0j),(32.58983450300803+13.656610959175705j),376.7344726426866
1680000000.0,(-0.8348678423431765+0.0627032228681347j),(-0-0j),(33.42585774053545+14.016458456314242j),376.73406241406195
1765000000.0,(-0.8310029117040153+0.06383331233119188j),(-0-0j),(34.27206607089046+14.328682880361937j),376.73371001518194
1850000000.0,(-0.8271389895570418+0.06474017209998748j),(-0-0j),(35.12472369158379+14.593178892758862j),376.73340506593524
1935000000.0,(-0.8232929486422794+0.06542840948529101j),(-0-0j),(35.980175365751975+14.810113635114517j),376.73313941482144
2020000000.0,(-0.8194806844968893+0.06590376665549533j),(-0-0j),(36.83486935369388+14.979919508990141j),376.7329065884869
2105000000.0,(-0.8157170475977141+0.06617300753578645j),(-0-0j),(37.685378801333805+15.103284280988353j),376.73270139359414
2190000000.0,(-0.8120157920016646+0.06624380084646474j),(-0-0j),(38.528421390123576+15.181138706033526j),376.73251962468436
2275000000.0,(-0.8083895396964944+0.06612460132709166j),(-0-0j),(39.360877070673105+15.214641906437155j),376.7323578469676
2360000000.0,(-0.8048497597016564+0.06582453104127652j),(-0-0j),(40.17980372580766+15.205164781312984j),376.732213232857
2445000000.0,(-0.8014067608216541+0.06535326247498673j),(-0-0j),(40.98245063726377+15.154271749572981j),376.73208343756943
2530000000.0,(-0.7980696968517857+0.06472090493859636j),(-0-0j),(41.76626966297176+15.063701149806725j),376.73196650347546
2615000000.0,(-0.7948465829667327+0.06393789556810908j),(-0-0j),(42.528924067708324+14.935344631774045j),376.7318607858488
2700000000.0,(-0.7917443219839423+0.06301489600189915j),(-0-0j),(43.268294987545175+14.771225877231577j),376.73176489471365
