f,s11,ZL,ZL_a
1000000000.0,(-0.6524607857974187+0.10910605630648422j),(78.13614150963495+30.31744610461989j),381.0353518919984
1065000000.0,(-0.6926039956136731+0.09333441087343539j),(67.74337286607427+24.718261334554704j),380.5181794163341
1130000000.0,(-0.7165191776351378+0.08065200779825522j),(61.79569429765055+20.762313301926575j),380.08926216833174
1195000000.0,(-0.732989044357786+0.07428279701706934j),(57.70327038981365+18.75010829496863j),379.72953451972677
1260000000.0,(-0.7419519292954441+0.07096045235478712j),(55.48526789982059+17.716572304203797j),379.42483035476135
1325000000.0,(-0.7455006537901324+0.06498528835439882j),(54.68198968705461+16.152176976748578j),379.16444212831124
1390000000.0,(-0.7506918209533335+0.05582415152502484j),(53.523451253400104+13.789927758173569j),378.94015237073154
1455000000.0,(-0.7603363528269359+0.049498228581206304j),(51.22492740277421+12.090176879295358j),378.7455681638506
1520000000.0,(-0.7685292133006212+0.05051774275544528j),(49.200154707593+12.219344828450794j),378.57565469710823
1585000000.0,(-0.7684104174685858+0.05334034632183731j),(49.169386005127905+12.897519274941855j),378.42640251286895
1650000000.0,(-0.764411458945196+0.04874626137366767j),(50.18377182691888+11.837781903025174j),378.2945862995265
1715000000.0,(-0.7667469980559742+0.038753378549247264j),(49.722637595035835+9.385938916171003j),378.1775874913771
1780000000.0,(-0.777048561112832+0.03434307051800907j),(47.27483055650535+8.220236553503705j),378.07326205946265
1845000000.0,(-0.7836808699397739+0.04073923681181687j),(45.6192135189928+9.674994264510126j),377.97984078086864
1910000000.0,(-0.778036922927343+0.04614468524776669j),(46.8889109297949+11.024270072497607j),377.8958531654877
1975000000.0,(-0.7703318244426396+0.03914175048739702j),(48.806689414640175+9.432648666124116j),377.8200688291616
2040000000.0,(-0.7743795949277755+0.02684313672241686j),(47.93538518022951+6.439867771707732j),377.75145188038204
2105000000.0,(-0.7879190822164349+0.025185911859786716j),(44.71723182083115+5.950319217839122j),377.68912511715547
2170000000.0,(-0.7924556561349234+0.037271934346126905j),(43.54307736057224+8.757830361608724j),377.63234169215445
2235000000.0,(-0.7806177133521317+0.04286771818462954j),(46.27441139704569+10.204150587642141j),377.58046251558085
2300000000.0,(-0.7714301438313754+0.031161541299807142j),(48.58168817860973+7.495857836447644j),377.5329381040181
2365000000.0,(-0.7797989313914729+0.016647523643509604j),(46.666787633914474+3.9673854565062636j),377.4892939020231
2430000000.0,(-0.7973741625250576+0.01990913886424458j),(42.499961437911416+4.651688401595144j),377.4491183367063
2495000000.0,(-0.7974082740935492+0.03804236601767357j),(42.35130041524035+8.884342730057293j),377.41205303835756
2560000000.0,(-0.7790440787750028+0.0409032845251504j),(46.64588672875209+9.749033814520274j),377.3777847892455
2625000000.0,(-0.7705405432533291+0.023000100428803093j),(48.83157488748373+5.536234656726095j),377.34603885991015
2690000000.0,(-0.7855812325460314+0.00722851904219208j),(45.30255249046147+1.710877300841338j),377.3165734660605
2755000000.0,(-0.8067105693390707+0.018281817651263934j),(40.32120972128696+4.225733238512614j),377.289175135621
2820000000.0,(-0.798922792637368+0.04170982479663998j),(41.94383082982947+9.719744978168773j),377.26365481894595
2885000000.0,(-0.7744363322207072+0.03871659199397419j),(47.751832555042654+9.272933081233676j),377.23984460893024
2950000000.0,(-0.7690998212386037+0.013643498099202336j),(49.20849599589429+3.288646288703554j),377.21759496406224
3015000000.0,(-0.7933357123887725-0.0015881214338942793j),(43.4678850643702-0.37252732675952427j),377.1967723481174
3080000000.0,(-0.8159783501632104+0.02095746874718725j),(38.16583253215575+4.793305945517278j),377.17725721651595
3145000000.0,(-0.7966640203582619+0.047200564463744016j),(42.395087878893335+11.02219826452093j),377.15894229232157
3210000000.0,(-0.7674504711366287+0.03512368005741538j),(49.45336333156629+8.477515978550542j),377.14173108520174
3275000000.0,(-0.7683054260517131+0.0021567162728348493j),(49.41274129428393+0.5202280281455017j),377.1255366149749
3340000000.0,(-0.8045706556107486-0.009032396661592475j),(40.82939045121099-2.091908607277782j),377.1102803080537
3405000000.0,(-0.8239847773688199+0.028752287684960635j),(36.287176456705794+6.516342147283355j),377.095891040518
3470000000.0,(-0.7900636392488851+0.053136117828222605j),(43.85282665607382+12.495007566447208j),377.08230430595825
3535000000.0,(-0.7586543999571259+0.02892232799492676j),(51.63046533313532+7.05027656103272j),377.0694614898259
3600000000.0,(-0.7698765093097116-0.0121248414812549j),(49.005878953360536-2.9188186806302214j),377.0573092349891
3665000000.0,(-0.8203996447872447-0.013000152218047673j),(37.17815672824734-2.9581276236578327j),377.04579888561705
