f,s11
1000000000.0,(-0.8673883486703765-0.18053586055388116j)
1015000000.0,(-0.8725088152994362-0.17406612469536623j)
1030000000.0,(-0.8773655793231283-0.16746936868198956j)
1045000000.0,(-0.8819561245700249-0.16075698047343195j)
1060000000.0,(-0.8862784339533217-0.15394035616474153j)
1075000000.0,(-0.8903309861270874-0.14703087830795838j)
1090000000.0,(-0.8941127512430255-0.1400398945130019j)
1105000000.0,(-0.8976231858234073-0.13297869636069934j)
1120000000.0,(-0.900862226766615-0.12585849866023135j)
1135000000.0,(-0.9038302845024669-0.1186904190827121j)
1150000000.0,(-0.9065282353152833-0.11148545820208897j)
1165000000.0,(-0.9089574128534335-0.10425447997403915j)
1180000000.0,(-0.911119598844915-0.09700819268305419j)
1195000000.0,(-0.9130170130393721-0.08975713038742619j)
1210000000.0,(-0.9146523023978271-0.08251163489137663j)
1225000000.0,(-0.9160285295523334-0.07528183827309444j)
1240000000.0,(-0.9171491605587037-0.06807764599695701j)
1255000000.0,(-0.9180180519664826-0.06090872063770141j)
1270000000.0,(-0.9186394372313736-0.05378446624377219j)
1285000000.0,(-0.9190179124964175-0.0467140133664916j)
1300000000.0,(-0.919158421769351-0.039706204781073715j)
1315000000.0,(-0.9190662415247507-0.032769581924819845j)
1330000000.0,(-0.9187469647607396-0.025912372077086087j)
1345000000.0,(-0.918206484541304-0.019142476304791906j)
1360000000.0,(-0.9174509770564891-0.012467458196338294j)
1375000000.0,(-0.9164868842340214-0.005894533405816222j)
1390000000.0,(-0.9153208959371967+0.0005694399716988549j)
1405000000.0,(-0.9139599317851298+0.00691797017415104j)
1420000000.0,(-0.9124111226327456+0.013144939677481184j)
1435000000.0,(-0.9106817917491395+0.01924461221464376j)
1450000000.0,(-0.9087794357341534+0.025211638893243127j)
1465000000.0,(-0.9067117052141892+0.031041063397982984j)
1480000000.0,(-0.9044863853594219+0.03672832626586615j)
1495000000.0,(-0.9021113762656252+0.04226926822392267j)
1510000000.0,(-0.8995946732448145+0.047660132581213266j)
1525000000.0,(-0.8969443470698171+0.05289756666892215j)
1540000000.0,(-0.8941685242186733+0.05797862232453055j)
1555000000.0,(-0.8912753671654609+0.0629007554183419j)
1570000000.0,(-0.8882730547647076+0.06766182442299679j)
1585000000.0,(-0.8851697627769834+0.07226008802907681j)
1600000000.0,(-0.8819736445835515+0.07669420181242652j)
1615000000.0,(-0.8786928121380929+0.08096321396142823j)
1630000000.0,(-0.875335317203499+0.08506656007511738j)
1645000000.0,(-0.8719091329215136+0.08900405704573124j)
1660000000.0,(-0.8684221357626396+0.09277589604201353j)
1675000000.0,(-0.8648820879031723+0.09638263461234714j)
1690000000.0,(-0.8612966200754579+0.09982518792954091j)
1705000000.0,(-0.8576732149365627+0.10310481920183351j)
1720000000.0,(-0.8540191909993885+0.10622312927739216j)
1735000000.0,(-0.8503416871689687+0.1091820454722483j)
