f,s11
1000000000.0,(-0.18402752499568983+0.04395964324046075j)
1065000000.0,(-0.18456053550343193+0.04214813797648984j)
1130000000.0,(-0.18544230254755345+0.04061504301360545j)
1195000000.0,(-0.18663590199975644+0.03934414266901346j)
1260000000.0,(-0.18811336632924874+0.03832272935783775j)
1325000000.0,(-0.1898534076348321+0.037541456285983356j)
1390000000.0,(-0.19183974763072734+0.03699412823302443j)
1455000000.0,(-0.1940598716725419+0.036677486651873314j)
1520000000.0,(-0.19650408011812193+0.036591015301369934j)
1585000000.0,(-0.1991647482663293+0.036736776859375424j)
1650000000.0,(-0.20203573183483026+0.03711928275551865j)
1715000000.0,(-0.20511187246542437+0.03774539423804157j)
1780000000.0,(-0.20838856977060574+0.03862425051578839j)
1845000000.0,(-0.21186139475022325+0.039767218640308355j)
1910000000.0,(-0.2155257252173988+0.04118785903416445j)
1975000000.0,(-0.21937638800146772+0.04290189990701552j)
2040000000.0,(-0.22340729571919588+0.04492721304960962j)
2105000000.0,(-0.227611068243551+0.04728378255611516j)
2170000000.0,(-0.23197863097430882+0.04999365684443649j)
2235000000.0,(-0.23649878389200463+0.05308087290436347j)
2300000000.0,(-0.24115773739110785+0.05657134001858989j)
2365000000.0,(-0.2459386132610939+0.06049266832252806j)
2430000000.0,(-0.2508209121316272+0.06487392559317146j)
2495000000.0,(-0.25577995243196805+0.06974530374465689j)
2560000000.0,(-0.2607862906327272+0.07513767489799188j)
2625000000.0,(-0.26580513840348025+0.08108201592267808j)
2690000000.0,(-0.2707957994268394+0.0876086804712713j)
2755000000.0,(-0.27571115693281517+0.09474649931929453j)
2820000000.0,(-0.28049725234406303+0.10252169397009257j)
2885000000.0,(-0.28509300527120307+0.11095659575011135j)
2950000000.0,(-0.28943013463011646+0.12006817376307606j)
3015000000.0,(-0.2934333485998764+0.1298663907114j)
3080000000.0,(-0.29702087576184794+0.14035242601349007j)
3145000000.0,(-0.30010540889083737+0.15151683053710086j)
3210000000.0,(-0.3025955240796987+0.16333770543793116j)
3275000000.0,(-0.3043976188136542+0.17577902669068834j)
3340000000.0,(-0.30541838150973477+0.18878926326454223j)
3405000000.0,(-0.30556776142389186+0.20230045562327315j)
3470000000.0,(-0.30476235326156076+0.2162279266095263j)
3535000000.0,(-0.302929049524254+0.23047078315220434j)
